Dataset,Dataset_Size,Model,Params,labellingType,NumberOfTopic,Computation_Time,AddedTime,npmiScore,coherenceCvScore,topic_diversityScore,TopicQuality,F1_ScoreScore,Precision_ScoreScore,Recall_ScoreScore,Accuracy_ScoreScore,divergenceScore,invertedRBOScore
TopicCybertweets,21366,BERTopic,"{'embedding_model': 'all-mpnet-base-v2', 'nr_topics': 100, 'verbose': True, 'calculate_probabilities': True}",labelsCyberAttack,100,138.6234312057495,Thu Jan  1 00:00:00 1970,0.2066015363977604,0.6206124521686724,0.8646464646464647,0.5366103626832158,0.6331442419144566,0.6831475506322883,0.7126365054602184,0.7126365054602184,21.99352308710611,0.9977925715267504
TopicCybertweets,21366,BERTopic,"{'embedding_model': 'all-mpnet-base-v2', 'nr_topics': 100, 'verbose': True, 'calculate_probabilities': True}",labelszeroday,100,112.4798117,Thu Jan  1 00:00:00 1970,0.2078403088290759,0.5993086095082562,0.8939393939393939,0.5357455751664714,0.7772391353253898,0.7789535273008243,0.8121684867394696,0.8121684867394696,22.051499606895465,0.9983490615619596
TopicCybertweets,21366,BERTopic,"{'embedding_model': 'all-mpnet-base-v2', 'nr_topics': 200, 'verbose': True, 'calculate_probabilities': True}",labelsCyberAttack,200,102.92609024047852,Thu Jan  1 00:00:00 1970,0.2048832372723069,0.6131012492701907,0.8135678391959799,0.4987994585771049,0.6549955353252903,0.6941481703819365,0.7195007800312012,0.7195007800312012,19.51700813271625,0.9983647621569732
TopicCybertweets,21366,BERTopic,"{'embedding_model': 'all-mpnet-base-v2', 'nr_topics': 200, 'verbose': True, 'calculate_probabilities': True}",labelszeroday,200,102.96876764297484,Thu Jan  1 00:00:00 1970,0.2040823688809317,0.6160737540437582,0.8180904522613065,0.5040040560719791,0.8027772182502158,0.8086231814939481,0.8299531981279251,0.8299531981279251,19.51776185,0.998304677
TopicCybertweets,21366,BERTopic,"{'embedding_model': 'all-mpnet-base-v2', 'nr_topics': 300, 'verbose': True, 'calculate_probabilities': True}",labelsCyberAttack,300,101.41304993629456,Thu Jan  1 00:00:00 1970,0.1990746924011001,0.6144861195953685,0.7431438127090301,0.4566515577728791,0.6557772920720769,0.6653723126042972,0.7054602184087363,0.7054602184087363,17.061429292188116,0.9978786604103124
TopicCybertweets,21366,BERTopic,"{'embedding_model': 'all-mpnet-base-v2', 'nr_topics': 300, 'verbose': True, 'calculate_probabilities': True}",labelszeroday,300,110.30985713005066,Thu Jan  1 00:00:00 1970,0.1793729565176874,0.6030265312751677,0.7749163879598662,0.4672951414597202,0.8027772182502158,0.8086231814939481,0.8299531981279251,0.8299531981279251,17.349355646858182,0.9982845206767876
TopicCybertweets,21366,BERTopic,"{'embedding_model': 'all-mpnet-base-v2', 'nr_topics': 400, 'verbose': True, 'calculate_probabilities': True}",labelsCyberAttack,400,99.92585277557372,Thu Jan  1 00:00:00 1970,0.20302151,0.6182971942769233,0.7238532110091743,0.4475564094353142,0.6722766250617253,0.7035429324544439,0.7260530421216849,0.7260530421216849,16.721894864441865,0.9975514112623994
TopicCybertweets,21366,BERTopic,"{'embedding_model': 'all-mpnet-base-v2', 'nr_topics': 400, 'verbose': True, 'calculate_probabilities': True}",labelszeroday,400,94.16306066513062,Thu Jan  1 00:00:00 1970,0.1992792285942129,0.6225255664112923,0.7231974921630094,0.4502089284360036,0.7998370132001764,0.8033176816514903,0.8265210608424337,0.8265210608424337,16.889692065221528,0.9975641182127264
TopicCybertweets,21366,BERTopic,"{'embedding_model': 'all-mpnet-base-v2', 'nr_topics': 500, 'verbose': True, 'calculate_probabilities': True}",labelsCyberAttack,500,103.77259612083436,Thu Jan  1 00:00:00 1970,0.1920217897216143,0.6116250289769211,0.7232835820895522,0.4423783418540536,0.6651351125722672,0.6940758828903343,0.7210608424336974,0.7210608424336974,16.782996292937728,0.9977221391653822
TopicCybertweets,21366,BERTopic,"{'embedding_model': 'all-mpnet-base-v2', 'nr_topics': 500, 'verbose': True, 'calculate_probabilities': True}",labelszeroday,500,97.03603363,Thu Jan  1 00:00:00 1970,0.1999134617047861,0.6172932366964434,0.7212765957446808,0.4452391643406262,0.799308861,0.8015381120435945,0.8252730109204368,0.8252730109204368,16.78953085883213,0.9976363260511646
